source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,wikidata_name,place_of_birth,position_held,occupation,sex_or_gender,country_of_citizenship,wikidata_uri,role,role_en,role_en_reconciled,status,status_en,phase
BRGA818,1620,,,1620,6629,Jan,Trippaert,"Jan, Trippaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1620,,,1620,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1620,,,1620,2838,Gerard,Van Hoochstadt,"Gerard, Van Hoochstadt",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6582,Willem,Maheu,"Willem, Maheu",,,,,,,member,member,member,dean,dean,start
BRGA818,1623,,,1623,6418,Maerten,Heunis,"Maerten, Heunis",,,,,,,member,member,member,dean,dean,start
BRGA818,1623,,,1623,2926,Jan,De Paege,"Jan, De Paege",,,,,,,member,member,member,dean,dean,start
BRGA818,1623,,,1623,6959,Gaspar,Van Schoor,"Gaspar, Van Schoor",,,,,,,member,member,member,dean,dean,start
BRGA818,1624,,,1624,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,1624,,,1624,6030,Dominicus,Seghers,"Dominicus, Seghers",,,,,,,member,member,member,dean,dean,start
BRGA818,1624,,,1624,472,Gillis,Leyniers,"Gillis, Leyniers",,,,,,,member,member,member,dean,dean,start
BRGA818,1625,,,1625,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1625,,,1625,2902,Maximiliaen,Van der Elst,"Maximiliaen, Van der Elst",,,,,,,member,member,member,dean,dean,start
BRGA818,1625,,,1625,6457,Francois,Van Obberghen,"Francois, Van Obberghen",,,,,,,member,member,member,dean,dean,start
BRGA818,1626,,,1626,2829,Antoon,Van Opstal,Anthony van Opstal,Antwerp,,painter,male,,https://www.wikidata.org/wiki/Q90405764,member,member,painter,dean,dean,start
